,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address,postcode,area
1537,j8IlGi3KHVXbNupZhOfjaQ,Nubar,bar,3.0,1,1,9,53.3850795590095,-6.2589166916182,Dublin,"The Nubar, Dublin City University",Ballymun Road,,"['The Nubar, Dublin City University', 'Ballymun Road', 'Dublin 9', 'Republic of Ireland']",D09 FW22,D09
1538,0Y2BTPXrWWSHw0DNnnp64A,Restaurant Royale,bar,1.0,1,,2,53.33817,-6.24535,Dublin,15 Upper Stephens Street,Dublin 2,,"['15 Upper Stephens Street', 'Dublin 2', 'Dublin 2', 'Republic of Ireland']",D02 TN83,D02
1539,WbaEkYku-BdnLWpAga_rlQ,Kilmardinny Inn,pub,5.0,1,,9,53.391162155512,-6.23519840596664,Santry,Lorcan Avenue,,,"['Lorcan Avenue', 'Santry, 9', 'Republic of Ireland']",D09 VY19,D09
1540,gSo72oWjIPhwD9U7yiU6GA,KCR House Pub,bar,3.0,1,2,,53.3142226,-6.296444,Dublin,326 Kimmage Road Lower,,,"['326 Kimmage Road Lower', 'Dublin', 'Republic of Ireland']",D12 X965,D12
1541,3-pUkeWbYHOObUk43-rcRg,Homestead,pub,3.0,1,,7,53.36259,-6.29036,Dublin,50 Quarry Road,Cabra,,"['50 Quarry Road', 'Cabra', 'Dublin 7', 'Republic of Ireland']",D07 VX44,D07
1542,K5GzXB28wVepDLRvNDRJrA,The Village Inn,pub,4.0,1,,8,53.33951,-6.32143,Inchicore,8 Gratten Ter,,,"['8 Gratten Ter', 'Inchicore, 8', 'Republic of Ireland']",D08 V670,D08
1543,4CZzAR2DwWUsW16F2HBr7g,Clonliffe House,pub,4.0,1,1,3,53.3612359327725,-6.24266000713774,Fairview,44 Ballybough Road,,,"['44 Ballybough Road', 'Fairview, 3', 'Republic of Ireland']",D03 VE24,D03
1544,JgvuDEJznV_jJI-WgOJ8Pw,Bridge Tavern,pub,5.0,1,2,1,53.35724,-6.24896,Dublin,6 Summerhill Parade,,,"['6 Summerhill Parade', 'Dublin 1', 'Republic of Ireland']",D01 Y751,D01
1545,7m3ASZemknkaeMNTaBWaZA,Willows,pub,3.0,1,3,11,53.39302,-6.28397,Dublin,Willow Park Cresent,,,"['Willow Park Cresent', 'Dublin 11', 'Republic of Ireland']",D11 Y18W,D11
1546,nkNvH5nRWA_0J41bZWnD5w,The Little Tree,bar,5.0,1,,D01 PN32,53.3570086948754,-6.2494782730937,Dublin 1,1 Summerhill Parade,,,"['1 Summerhill Parade', 'Dublin 1, D01 PN32', 'Republic of Ireland']",D01 Y751,D01
1547,PV7NvP4KX3G4KtK-DxI24Q,Players' Lounge,lounges,3.0,1,,3,53.3627899,-6.2398999,Dublin,Fairview Strand,Fairview,,"['Fairview Strand', 'Fairview', 'Dublin 3', 'Republic of Ireland']",D03 YV62,D03
1548,DqIVY4nM52VLs_o6mrUT_w,Kitty Kiernans,pub,4.0,1,,9,53.3766369,-6.2228558,Donnycarney,61-63 Collins Avenue West,,,"['61-63 Collins Avenue West', 'Donnycarney, 9', 'Republic of Ireland']",D05 Y4T8,D05
1551,W6HxjquV7v4Zoje-YSpr1A,3Olympia Theatre,theater,4.0,43,2,2,53.3442,-6.26608,Dublin,72 Dame Street,,,"['72 Dame Street', 'Dublin 2', 'Republic of Ireland']",D02 DX00,D02
1552,zNGD2sWPs35hupqkrJ2j0A,Wrights Angler's Rest,irish,4.0,30,3,20,53.3590616,-6.3586714,Chapelizod,Strawberry Beds,,,"['Strawberry Beds', 'Chapelizod, 20', 'Republic of Ireland']",D20 DT92,D20
1554,uy6VdHWeQbuG9z7q0DwK8w,The Old Orchard Inn,pub,3.5,22,2,14,53.294741,-6.29931370138751,Rathfarnham,Butterfield Avenue,Rathfarnham,,"['Butterfield Avenue', 'Rathfarnham', 'Rathfarnham, 14', 'Republic of Ireland']",D14 RF96,D14
1557,0sZNlWkZrmPwvTVBjT1wSA,Sand Bar,bar,3.0,10,2,3,53.3592,-6.1965,Clontarf,193 Clontarf Road,,,"['193 Clontarf Road', 'Clontarf, 3', 'Republic of Ireland']",D03 P6D0,D03
1558,NM22HXn1WVUHI3iP1RCNXg,The Glenside,pub,4.0,9,2,14,53.299757,-6.26811,Churchtown,20 landscape road,,,"['20 landscape road', 'Churchtown, 14', 'Republic of Ireland']",D14 X654,D14
1559,x1PuOUvwuH7rWzG7gqZcSA,Club Chonradh na Gaeilge,pub,4.0,9,2,2,53.3367799996446,-6.26309752464294,Dublin,6 Sráid Fhearchair,Baile Átha Cliath,,"['6 Sráid Fhearchair', 'Baile Átha Cliath', 'Dublin 2', 'Republic of Ireland']",D02 VH98,D02
1560,4CsnimA4WZS1m8gtiigYxQ,Vaughan's Eatery,irish,4.5,8,2,6w,53.3103,-6.28318,Dublin,105/107 Terenure Road N,,,"['105/107 Terenure Road N', 'Dublin 6w', 'Republic of Ireland']",D06 K767,D06
1561,Pq0qmxP0Nmq5EzRE0a1dKA,The Manhattan,pub,3.5,8,,D05 T9K8,53.38057,-6.17487,Raheny,5 Station Road,,,"['5 Station Road', 'Raheny, D05 T9K8', 'Republic of Ireland']",D05 T9K8,D05
1564,rWUP4JHUwAxN8HyeSADD6A,Dundrum House,pub,3.5,7,2,16,53.2892,-6.24367,Dundrum,57 Main Street,,,"['57 Main Street', 'Dundrum, 16', 'Republic of Ireland']",D14 V9R3,D14
1565,hNgJm6NS74wLsRsf9ns7LQ,The Blue Haven,pub,3.5,7,2,16,53.2933,-6.30876,Dublin,1A Ballyroan Road,,,"['1A Ballyroan Road', 'Dublin 16', 'Republic of Ireland']",D14 VY33,D14
1566,yVtld_XY4VtM1N3knVk2Ag,Uncle Tom's Cabin,pub,4.0,6,2,14,53.2953248177123,-6.24635595476989,Rosemount,Dundrum Road,,,"['Dundrum Road', 'Rosemount, 14', 'Republic of Ireland']",D14 EH79,D14
1567,13EARD1vKvDB-aRLN4MNHQ,O'Dwyers Pub,pub,4.0,5,2,,53.2888,-6.21628,Kilmacud,118 Kilmacud Road Lower,,,"['118 Kilmacud Road Lower', 'Kilmacud, Co. Dublin', 'Republic of Ireland']",A94 PT02,A94
1568,w2-4H3egW13D2PpG8k1urw,Cinnabar,bar,4.0,5,2,9,53.4041598062359,-6.2454790994525,Dublin,2 Northwood Avenue,,,"['2 Northwood Avenue', 'Dublin 9', 'Republic of Ireland']",D09 X6X4,D09
1569,ScHhNY0fboDxjKGG3oQBWg,The Bram Stoker,hotels,4.0,5,2,3,53.3585205,-6.1923199,Clontarf,225 Clontarf Road,,,"['225 Clontarf Road', 'Clontarf, 3', 'Republic of Ireland']",D03 P6D0,D03
