,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address
860,WKlUjlT0LegjPwSkXVj2VQ,The Chili Shack,tradamerican,4.0,5,,7,53.3538295578019,-6.28575883805752,Stoneybatter,3 Prussia Street,,,"['3 Prussia Street', 'Stoneybatter, 7', 'Republic of Ireland']"
861,sOh0-xf2yLfeF9-8_hWIXg,Spicy Bite,indpak,3.5,5,€,1,53.3510956744907,-6.26311898231506,Dublin,Moore Mall,Moore Street,,"['Moore Mall', 'Moore Street', 'Dublin 1', 'Republic of Ireland']"
862,nDbcGZBPoFJLf0kxarszYA,Bbq Tonight,afghani,4.0,5,,,53.3339551286641,-6.27477485686541,Dublin,35 Lower Clanbrassil Street,,,"['35 Lower Clanbrassil Street', 'Dublin', 'Republic of Ireland']"
863,s_TXhIh10XNdU8V-f9EvIw,Chopped,healthmarkets,4.0,5,€€,3,53.3633273198032,-6.23528367911674,Fairview,13-15 Main Street,,,"['13-15 Main Street', 'Fairview, 3', 'Republic of Ireland']"
864,1s6BMR9VVvwV8C4zXwSQ4w,The Golden Chip,hotdogs,3.5,5,€,D07 WY46,53.3637473042158,-6.27221536074785,Phibsborough,108 Phibsborough Road,,,"['108 Phibsborough Road', 'Phibsborough, D07 WY46', 'Republic of Ireland']"
865,boUXwzn9nWz1-e6eV-Pfvg,Lemuel's,cocktailbars,5.0,5,,2,53.3348907002063,-6.25756110996008,Dublin,2 Earlsfort Terrace,,,"['2 Earlsfort Terrace', 'Dublin 2', 'Republic of Ireland']"
866,KXbMLYZu6VsBHw3A2SRGYQ,The Paella Guys,spanish,4.5,5,€,,53.34807,-6.24827,Dublin,,,,"['Dublin', 'Republic of Ireland']"
867,y4ECl2wXvERKUuaMqPMDqg,Alcock & Brown,cafes,3.5,5,,1,53.34807,-6.24827,Dublin,Terminal 1 Landside,"Mezzanine Food Court, Dublin Airport",,"['Terminal 1 Landside', 'Mezzanine Food Court, Dublin Airport', 'Dublin 1', 'Republic of Ireland']"
868,A7DG2QQcbQGuGwicXiAQow,Insomnia Coffee Company,coffee,4.5,5,€,2,53.3410975,-6.2625937,Dublin,1-3 Chatham Row,,,"['1-3 Chatham Row', 'Dublin 2', 'Republic of Ireland']"
869,kCp5--zpJ6DyhWoJQrCyGA,Burger King,hotdogs,3.0,5,€€,2,53.343,-6.25944,Dublin,4 Grafton Street,,,"['4 Grafton Street', 'Dublin 2', 'Republic of Ireland']"
870,AakdZwxg2A-UL8nz96Xp7Q,Wasabi Bar Grill,sushi,2.0,5,,1,53.3576424,-6.2632891,Rotunda,4 Dorset Street Lower,,,"['4 Dorset Street Lower', 'Rotunda, 1', 'Republic of Ireland']"
871,gWPrQ9n4TqOyH3Sfzy29Jg,Red Rose Café,cafes,4.5,5,€€,2,53.3469003358961,-6.2557828285061,Dublin,6 Poolbeg Street,City Centre South,,"['6 Poolbeg Street', 'City Centre South', 'Dublin 2', 'Republic of Ireland']"
872,UgfFgp8raAqfp4MP7kRPcA,Fudi,salad,3.0,5,,2,53.3394359682465,-6.24607724033468,Dublin,1 Lower Mount Street,,,"['1 Lower Mount Street', 'Dublin 2', 'Republic of Ireland']"
873,XlogYTM1CJQY089YM3Ub6w,Insomnia,coffee,4.5,5,€€,D01 K268,53.3476180800571,-6.26572608947754,Dublin,7 Abbey Street Upper,,,"['7 Abbey Street Upper', 'Dublin, D01 K268', 'Republic of Ireland']"
874,S6OYIOHYoiFXt29lwzgFnQ,New Star,chinese,4.0,5,€€,1,53.34865,-6.2693,Dublin,123 Capel Street,,,"['123 Capel Street', 'Dublin 1', 'Republic of Ireland']"
875,6Ql7xJIROQrjXSSZeXupsA,Valencia - Paella & Tapas,tapas,4.0,5,€€,,53.3477107488831,-6.26304907048919,Dublin,Abbey Street Upper,,,"['Abbey Street Upper', 'Dublin', 'Republic of Ireland']"
876,DzgKTYZszkzBPE_AW_MNjw,Chimac,chicken_wings,4.5,5,,D02 XR70,53.34107,-6.26577,Dublin 2,76 Aungier St,,,"['76 Aungier St', 'Dublin 2, D02 XR70', 'Republic of Ireland']"
877,mgIw_K0Lvi65FCqyFa7JSg,Insomnia Coffee Company,sandwiches,2.0,5,€,8,53.339869,-6.307769,Dublin,625-627 South Circular Road,Kilmainham,,"['625-627 South Circular Road', 'Kilmainham', 'Dublin 8', 'Republic of Ireland']"
878,sVxslSZcAZmt1D4GXkYFvA,Charlies Five Malay and Chinese Cafe,hotdogs,3.5,5,€€,2,53.3367334,-6.2653286,Dublin,17-18 Wexford St,,,"['17-18 Wexford St', 'Dublin 2', 'Republic of Ireland']"
879,tEkWm-hnhemxUoqbZrXjnQ,Four Star Pizza,pizza,2.5,5,€€,7,53.3571,-6.27358,Dublin,139b Phibsborough Road,Phibsboro,,"['139b Phibsborough Road', 'Phibsboro', 'Dublin 7', 'Republic of Ireland']"
880,LGdo-BOISscm6IYj-JE_Kw,Cafe Sol,cafes,3.0,5,,2,53.34187,-6.25059,Dublin,1 Lincoln Pl,,,"['1 Lincoln Pl', 'Dublin 2', 'Republic of Ireland']"
